MMAF_CODE,MMSI,STATION_NM,STATION_TYPE1,STATION_TYPE2,MMSI_TYPE,VIRTUAL_MMSI,MMSI_EXT_NM,REAL_MMSI,LATITUDE,LONGITUDE,INSTALL_DT,LANTERN_INST,RACON_INST,BATTERY_INST,CHARGER_INST,CHARGER_INST,DATALOGGER_INST,SPARE_INST,MAIN_VOLT_INST,SOLAR_VOLT_INST,BATTERY_VOLT_INST,SPARE_VOLT_INST,AIS_CURR_INST,LANTERN_CURR_INST,DATALOGGER_CURR_INST,SPARE_CURR_INST,WIND_SPEED_INST,WIND_DIRECT_INST,AIR_TEMPER_INST,HUMIDITY_INST,DEW_POINT_INST,AIR_PRESSURE_INST,HORIZON_VISIBL_INST,WATER_LEVEL_INST,CURRENT1_INST,CURRENT2_INST,CURRENT3_INST,WAVE_HEIGHT_INST,WAVE_DRC_INST,SWELL_HEIGHT_INST,SWELL_DRC_INST,WATER_TEMPER_INST,PRECIPI_TYPE_INST,SALINTITY_INST,ICE_INST,HEAT_PROSTR_INST,HELIOGRAPH_INST,OXYGEN_INST,OXYGEN_SATUR_INST,PH_INST,CHLOROPHYLL_INST,MUDDINESS_INST,PRECIPI_INST,TREE_DEPTH,TREE_OD,PARENT_MMSI,PROCESS_STATUS,VTS_ID,BASESTATION_ID,CHARGER_CURR_INST,DISCHARGER_CURR_INST,STATION_IMG,REGIST_USER_NO,REGIST_DT,UPDT_USER_NO,UPDT_DT,TIDE_INST,WAVE_PERIOD_INST
101,994401580,신항내항항로제106호등부표,0,0,1,994401580,,994401580,35.04566667,128.7863333,,1,0,1,1,1,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,1,,1,,994401580,4406466,0,1,,,,,,,
101,994401579,감천항유도등부표(랜비),0,1,1,994401579,,994401579,35.032,129.0221667,,1,0,1,1,1,0,0,1,1,1,0,0,0,0,0,1,1,1,1,0,1,0,0,1,0,0,0,0,0,0,1,0,1,0,,,,,,,,,1,,2,,994401579,4406466,0,1,,,,,,,
101,994401578,오륙도등대,0,1,1,994401578,,994401578,35.09133333,129.127,,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,1,,2,,994401578,4406466,0,1,,,,,,,
101,994401577,조도방파제동단등대,2,0,1,994401577,,994401577,35.07933333,129.1051667,,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,1,,2,,994401577,4406466,0,1,,,,,,,
101,220681671,부산항신항소형선부두등대,0,1,1,220681671,,220681671,35.07763889,128.7815,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,1,,1,,220681671,4406466,0,1,,,,,,,
111,994403811,수산단등대,2,0,1,994406947,,994403811,38.082517,128.674067,,1,0,0,0,0,0,0,1,1,1,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,1,,4,,994403811,4406110,0,1,,,,,,,
111,994403810,주문진항동방파제등대,2,1,1,994406940,,994403810,37.885889,128.834711,,1,1,0,0,0,1,0,1,0,0,0,1,1,1,0,1,1,1,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,1,,4,,994403810,4406110,0,1,,,,,,,
111,994403809,묵호항동방파제등대,2,0,1,994406939,,994403809,37.53333333,129.1166667,,1,0,0,0,0,0,0,1,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,1,,3,,994403809,4406110,0,1,,,,,,,
111,994403808,동해항남방파제등대,2,1,1,994406938,,994403808,37.49665,129.144667,,1,0,0,0,0,1,0,1,0,0,0,1,1,1,0,1,1,1,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,1,,3,,994403808,4406110,0,1,,,,,,,
111,994403807,임원항방파제등대,2,1,1,994406937,,994403807,37.224858,129.345192,,1,1,0,0,0,1,0,1,0,0,0,1,1,1,0,1,1,1,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,1,,3,,994403807,4406110,0,1,,,,,,,
111,994403806,거진등대,2,0,1,994406936,,994403806,38.449417,128.464806,,1,0,0,0,0,0,0,1,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,1,,4,,994403806,4406110,0,1,,,,,,,
111,994403805,비말등대,2,0,1,994406935,,994403805,37.37938889,129.2564722,,1,0,0,0,0,0,0,1,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,1,,4,,994403805,4406110,0,1,,,,,,,
111,994403804,정동진등대,2,0,1,994406934,,994403804,37.675633,129.054144,,1,0,0,0,0,0,0,1,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,1,,4,,994403804,4406110,0,1,,,,,,,
111,994403803,주문진등대,2,0,1,994406933,,994403803,37.897647,128.833925,,1,0,0,0,0,0,0,1,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,1,,4,,994403803,4406110,0,1,,,,,,,
